train_loss,train_acc,val_loss,val_acc
0.9997691099358871,69.63865429876782,0.1691012002755793,94.31524547803618
0.26221699590704084,92.08777516267479,0.10892661299309409,96.28552971576228
0.1881680864082501,94.21293091513222,0.10984794629680715,96.54392764857882
0.1602679731291348,95.16129032258064,0.10176886579352051,96.89922480620154
0.125263914276343,96.09580506714661,0.09017346571591607,97.1576227390181
0.11949009849665175,96.29655267894226,0.09368600156419549,97.06072351421189
0.09276978714408073,97.2449120863907,0.0734221664098947,97.80361757105943
0.08977608932429447,97.1272324518898,0.038845732685461244,98.64341085271317
0.08401363879541117,97.45950436106881,0.04348236799497889,98.77260981912144
0.08719953722773796,97.39720337809774,0.03365725387206743,98.80490956072352
0.07699478296274566,97.79177627024782,0.06758860761298208,98.22351421188631
0.07448107648055703,97.8125432645715,0.05516584034138555,98.38501291989664
0.06676825852776193,97.87484424754257,0.05629710851457628,98.28811369509044
0.05064423355650965,98.42863076284092,0.03221666246441155,98.99870801033592
0.041081637520120534,98.6570677004015,0.03134719549978733,98.96640826873384
